"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2014-06-05","20:28:30","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:28:29","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","19:16:51","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","19:16:50","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","19:16:50","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-05-27","13:50:00","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
"2014-05-27","13:42:31","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
"2014-06-05","17:45:22","Adam","96.31.250.226","96.31.250.226","Blocked","http://cdn.tacoda.at.atwola.com/an/qseg.html","Enterprise Malware"
"2014-06-05","17:39:59","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","17:39:58","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","17:39:58","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","16:21:28","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:20:25","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:19:38","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:18:14","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:17:39","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:17:04","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:16:52","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:16:07","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:15:27","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:15:01","Wendy Parker","96.31.250.226","96.31.250.226","Blocked","http://www.tractorsupplysignup.com/qsf","Enterprise Malware"
"2014-06-05","16:13:07","Adam","96.31.250.226","96.31.250.226","Blocked","http://fast.swa.demdex.net/dest3.html?d_nsid=0","Enterprise Malware"
"2014-06-05","16:12:50","Adam","96.31.250.226","96.31.250.226","Blocked","http://fast.swa.demdex.net/dest3.html?d_nsid=0","Enterprise Malware"
"2014-06-05","16:10:24","Dave Heermance","96.31.250.226","96.31.250.226","Blocked","http://fast.sears.demdex.net/dest4.html?d_nsid=0","Enterprise Malware"
"2014-06-05","16:03:22","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-05-23","21:24:14","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
"2014-06-05","15:55:04","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-05","15:17:51","Default Site","96.31.250.226","96.31.250.226","Blocked","http://fast.cbsi.demdex.net/dest4.html?d_nsid=0","Enterprise Malware"
"2014-06-05","15:15:31","Default Site","96.31.250.226","96.31.250.226","Blocked","http://fast.cbsi.demdex.net/dest4.html?d_nsid=0","Enterprise Malware"
